"Country Name","country_lkp"
"American Samoa","American Samoa"
"Andorra","Andorra"
"Antigua and Barbuda","Antigua and Barbuda"
"Arab World",""
"Armenia","Armenia"
"Aruba","Aruba"
"Azerbaijan","Azerbaijan"
"Bahamas, The","Bahamas"
"Barbados","Barbados"
"Belarus","Belarus"
"Belize","Belize"
"Bermuda","Bermuda"
"Bhutan","Bhutan"
"British Virgin Islands","British Virgin Islands"
"Brunei Darussalam","Brunei Darussalam"
"Cabo Verde","Cabo Verde"
"Caribbean small states",""
"Cayman Islands","Cayman Islands"
"Central Europe and the Baltics",""
"Channel Islands","Channel Islands"
"Congo, Dem. Rep.","Democratic Republic of the Congo"
"Congo, Rep.","Congo"
"Curacao","Curaçao"
"Cyprus","Cyprus"
"Dominica","Dominica"
"Early-demographic dividend",""
"East Asia & Pacific",""
"East Asia & Pacific (IDA & IBRD countries)",""
"East Asia & Pacific (excluding high income)",""
"Egypt, Arab Rep.","Egypt"
"Estonia","Estonia"
"Euro area",""
"Europe & Central Asia",""
"Europe & Central Asia (IDA & IBRD countries)",""
"Europe & Central Asia (excluding high income)",""
"European Union",""
"Faroe Islands","Faroe Islands"
"Fiji","Fiji"
"Fragile and conflict affected situations",""
"French Polynesia","French Polynesia"
"Gambia, The","Gambia"
"Georgia","Georgia"
"Gibraltar","Gibraltar"
"Greenland","Greenland"
"Grenada","Grenada"
"Guam","Guam"
"Guyana","Guyana"
"Heavily indebted poor countries (HIPC)",""
"High income",""
"Hong Kong SAR, China","China, Hong Kong Special Administrative Region"
"IBRD only",""
"IDA & IBRD total",""
"IDA blend",""
"IDA only",""
"IDA total",""
"Iran, Islamic Rep.","Iran (Islamic Republic of)"
"Isle of Man","Isle of Man"
"Kazakhstan","Kazakhstan"
"Kiribati","Kiribati"
"Korea, Dem. People's Rep.","Democratic People's Republic of Korea"
"Korea, Rep.","Republic of Korea"
"Kosovo",""
"Kyrgyz Republic","Kyrgyzstan"
"Lao PDR","Lao People's Democratic Republic"
"Late-demographic dividend",""
"Latin America & Caribbean",""
"Latin America & Caribbean (excluding high income)",""
"Latin America & the Caribbean (IDA & IBRD countries)",""
"Latvia","Latvia"
"Liechtenstein","Liechtenstein"
"Lithuania","Lithuania"
"Luxembourg","Luxembourg"
"Macao SAR, China","China, Macao Special Administrative Region"
"Macedonia, FYR","North Macedonia"
"Maldives","Maldives"
"Malta","Malta"
"Marshall Islands","Marshall Islands"
"Micronesia, Fed. Sts.","Micronesia (Federated States of)"
"Middle East & North Africa",""
"Middle East & North Africa (IDA & IBRD countries)",""
"Middle East & North Africa (excluding high income)",""
"Middle income",""
"Moldova","Republic of Moldova"
"Monaco","Monaco"
"Nauru","Nauru"
"New Caledonia","New Caledonia"
"North America",""
"Northern Mariana Islands","Northern Mariana Islands"
"OECD members",""
"Other small states",""
"Pacific island small states",""
"Palau","Palau"
"Papua New Guinea","Papua New Guinea"
"Post-demographic dividend",""
"Pre-demographic dividend",""
"Qatar","Qatar"
"Russian Federation","Russian Federation"
"Samoa","Samoa"
"San Marino","San Marino"
"Seychelles","Seychelles"
"Sint Maarten (Dutch part)","Sint Maarten (Dutch part)"
"Small states","Other small states"
"Solomon Islands","Solomon Islands"
"South Asia","South Asia"
"South Asia (IDA & IBRD)","South Asia (IDA & IBRD)"
"South Sudan","South Sudan"
"St. Kitts and Nevis","Saint Kitts and Nevis"
"St. Lucia","Saint Lucia"
"St. Martin (French part)","Saint Martin (French Part)"
"St. Vincent and the Grenadines","Saint Vincent and the Grenadines"
"Sub-Saharan Africa","Sub-Saharan Africa"
"Sub-Saharan Africa (IDA & IBRD countries)","Sub-Saharan Africa (IDA & IBRD countries)"
"Sub-Saharan Africa (excluding high income)","Sub-Saharan Africa (excluding high income)"
"Suriname","Suriname"
"Syrian Arab Republic","Syrian Arab Republic"
"Tajikistan","Tajikistan"
"Timor-Leste","Timor-Leste"
"Tonga","Tonga"
"Turkmenistan","Turkmenistan"
"Turks and Caicos Islands","Turks and Caicos Islands"
"Tuvalu","Tuvalu"
"Ukraine","Ukraine"
"United Arab Emirates","United Arab Emirates"
"Upper middle income","Upper middle income"
"Uzbekistan","Uzbekistan"
"Vanuatu","Vanuatu"
"Venezuela, RB","Venezuela (Bolivarian Republic of)"
"Virgin Islands","Virgin Islands (British)"
"World","World"
"Yemen, Rep.","Yemen"

